,midoc.stn,cod.end,fgroup,PA,start_time,end_time,lat_start,lon_start,lat_end,lon_end,trackdistm,mean_grnd_spd,min.dep,max.dep,mid.dep,swept_m3
1,MIDOC01,1,unidientified/other myctophids,0,24/01/2016 10:52,24/01/2016 12:21,-61.393308,93.488604,-61.298875,93.552244,11299.75306,4.070807676,0.257,963.984,482.1205,2033955.552
2,MIDOC01,1,Melamphidae,0,24/01/2016 10:52,24/01/2016 12:21,-61.393308,93.488604,-61.298875,93.552244,11299.75306,4.070807676,0.257,963.984,482.1205,2033955.552
3,MIDOC01,1,Melanonidae,0,24/01/2016 10:52,24/01/2016 12:21,-61.393308,93.488604,-61.298875,93.552244,11299.75306,4.070807676,0.257,963.984,482.1205,2033955.552
4,MIDOC01,1,Macrouridae,0,24/01/2016 10:52,24/01/2016 12:21,-61.393308,93.488604,-61.298875,93.552244,11299.75306,4.070807676,0.257,963.984,482.1205,2033955.552
5,MIDOC01,1,Protomyctophum,0,24/01/2016 10:52,24/01/2016 12:21,-61.393308,93.488604,-61.298875,93.552244,11299.75306,4.070807676,0.257,963.984,482.1205,2033955.552
6,MIDOC01,1,Stomiidae,0,24/01/2016 10:52,24/01/2016 12:21,-61.393308,93.488604,-61.298875,93.552244,11299.75306,4.070807676,0.257,963.984,482.1205,2033955.552
7,MIDOC01,1,Other myctophid,0,24/01/2016 10:52,24/01/2016 12:21,-61.393308,93.488604,-61.298875,93.552244,11299.75306,4.070807676,0.257,963.984,482.1205,2033955.552
8,MIDOC01,1,Electrona,1,24/01/2016 10:52,24/01/2016 12:21,-61.393308,93.488604,-61.298875,93.552244,11299.75306,4.070807676,0.257,963.984,482.1205,2033955.552
9,MIDOC01,1,Gempylidae,0,24/01/2016 10:52,24/01/2016 12:21,-61.393308,93.488604,-61.298875,93.552244,11299.75306,4.070807676,0.257,963.984,482.1205,2033955.552
10,MIDOC01,1,Gonostomatidae,0,24/01/2016 10:52,24/01/2016 12:21,-61.393308,93.488604,-61.298875,93.552244,11299.75306,4.070807676,0.257,963.984,482.1205,2033955.552
11,MIDOC01,1,Bathylagidae,1,24/01/2016 10:52,24/01/2016 12:21,-61.393308,93.488604,-61.298875,93.552244,11299.75306,4.070807676,0.257,963.984,482.1205,2033955.552
12,MIDOC01,1,Kreffichthys andersonii,0,24/01/2016 10:52,24/01/2016 12:21,-61.393308,93.488604,-61.298875,93.552244,11299.75306,4.070807676,0.257,963.984,482.1205,2033955.552
13,MIDOC01,1,Krefftichthys anderssoni,0,24/01/2016 10:52,24/01/2016 12:21,-61.393308,93.488604,-61.298875,93.552244,11299.75306,4.070807676,0.257,963.984,482.1205,2033955.552
14,MIDOC01,1,Paralepididae,0,24/01/2016 10:52,24/01/2016 12:21,-61.393308,93.488604,-61.298875,93.552244,11299.75306,4.070807676,0.257,963.984,482.1205,2033955.552
15,MIDOC01,1,Gymnoscopelus,1,24/01/2016 10:52,24/01/2016 12:21,-61.393308,93.488604,-61.298875,93.552244,11299.75306,4.070807676,0.257,963.984,482.1205,2033955.552
